,id,user_id,image_url,scientific_name,iconic_taxon_name,taxon_id
1,6316472,487760,https://inaturalist-open-data.s3.amazonaws.com/photos/7954459/medium.jpg,Rhododendron caucasicum,Plantae,546910
12,7294238,21240,https://inaturalist-open-data.s3.amazonaws.com/photos/9436808/medium.jpeg,Gymnadenia conopsea,Plantae,131610
14,7294258,21240,https://inaturalist-open-data.s3.amazonaws.com/photos/9436842/medium.jpeg,Veronica gentianoides,Plantae,509258
15,7294260,21240,https://inaturalist-open-data.s3.amazonaws.com/photos/9436845/medium.jpeg,Bistorta carnea,Plantae,752467
17,7294297,21240,https://inaturalist-open-data.s3.amazonaws.com/photos/9436895/medium.jpeg,Rhododendron caucasicum,Plantae,546910
18,7294309,21240,https://inaturalist-open-data.s3.amazonaws.com/photos/9436933/medium.jpeg,Betonica macrantha,Plantae,906115
19,7294340,21240,https://inaturalist-open-data.s3.amazonaws.com/photos/9436967/medium.jpeg,Gymnadenia conopsea,Plantae,131610
21,7304463,521690,https://static.inaturalist.org/photos/9453489/medium.jpg,Rhododendron luteum,Plantae,129083
40,7321080,21240,https://inaturalist-open-data.s3.amazonaws.com/photos/9481089/medium.jpeg,Betonica macrantha,Plantae,906115
41,7328685,21240,https://inaturalist-open-data.s3.amazonaws.com/photos/9493804/medium.jpeg,Gymnadenia conopsea,Plantae,131610
42,7328697,21240,https://inaturalist-open-data.s3.amazonaws.com/photos/9493829/medium.jpeg,Rhododendron caucasicum,Plantae,546910
43,7328699,21240,https://inaturalist-open-data.s3.amazonaws.com/photos/9493836/medium.jpeg,Rhododendron caucasicum,Plantae,546910
59,7457616,521690,https://static.inaturalist.org/photos/9690602/medium.jpg,Betonica macrantha,Plantae,906115
70,7458928,20957,https://static.inaturalist.org/photos/9703547/medium.jpg,Gymnadenia conopsea,Plantae,131610
76,7459451,521690,https://static.inaturalist.org/photos/9703980/medium.jpg,Gymnadenia conopsea,Plantae,131610
81,7460962,521690,https://static.inaturalist.org/photos/9706687/medium.jpg,Veronica gentianoides,Plantae,509258
83,7473295,521690,https://static.inaturalist.org/photos/9727710/medium.jpg,Bistorta carnea,Plantae,752467
88,7474480,521690,https://static.inaturalist.org/photos/9729382/medium.jpg,Rhododendron caucasicum,Plantae,546910
109,7486543,83313,https://inaturalist-open-data.s3.amazonaws.com/photos/9749080/medium.jpg,Gymnadenia conopsea,Plantae,131610
110,7486544,83313,https://inaturalist-open-data.s3.amazonaws.com/photos/9749078/medium.jpg,Gymnadenia conopsea,Plantae,131610
119,7505168,521690,https://static.inaturalist.org/photos/9779877/medium.jpg,Gymnadenia conopsea,Plantae,131610
159,8831664,645653,https://inaturalist-open-data.s3.amazonaws.com/photos/11863880/medium.jpeg,Chamaenerion colchicum,Plantae,564922
161,8836852,645653,https://inaturalist-open-data.s3.amazonaws.com/photos/11872383/medium.jpeg,Phedimus spurius,Plantae,204380
163,8836855,645653,https://inaturalist-open-data.s3.amazonaws.com/photos/11872410/medium.jpeg,Rhododendron caucasicum,Plantae,546910
203,11999236,913789,https://inaturalist-open-data.s3.amazonaws.com/photos/17189433/medium.jpg,Betonica macrantha,Plantae,906115
223,12168794,825110,https://static.inaturalist.org/photos/17469572/medium.jpg,Rhododendron luteum,Plantae,129083
238,13068010,853201,https://static.inaturalist.org/photos/19031523/medium.jpg,Salvia verticillata,Plantae,128689
261,13554448,1002453,https://static.inaturalist.org/photos/19927819/medium.jpeg,Veronica gentianoides,Plantae,509258
263,13554478,1002453,https://static.inaturalist.org/photos/19927949/medium.jpeg,Betonica macrantha,Plantae,906115
274,13978082,1012943,https://inaturalist-open-data.s3.amazonaws.com/photos/20668824/medium.jpeg,Betonica macrantha,Plantae,906115
278,13979639,1012943,https://inaturalist-open-data.s3.amazonaws.com/photos/20671406/medium.jpeg,Veronica gentianoides,Plantae,509258
295,14824619,1053197,https://static.inaturalist.org/photos/22129415/medium.jpeg,Alchemilla,Plantae,56023
309,15027633,1076170,https://static.inaturalist.org/photos/22427311/medium.jpg,Gymnadenia conopsea,Plantae,131610
314,15415638,1076170,https://static.inaturalist.org/photos/23113204/medium.jpg,Gymnadenia conopsea,Plantae,131610
356,16004539,1076170,https://static.inaturalist.org/photos/23967578/medium.jpg,Phedimus spurius,Plantae,204380
363,16127617,809195,https://static.inaturalist.org/photos/24168799/medium.jpeg,Hippophae rhamnoides,Plantae,163812
381,18086704,1317956,https://static.inaturalist.org/photos/27654034/medium.jpg,Rhododendron caucasicum,Plantae,546910
406,19517466,1411964,https://inaturalist-open-data.s3.amazonaws.com/photos/30035434/medium.jpg,Gymnadenia conopsea,Plantae,131610
408,19653935,13246,https://inaturalist-open-data.s3.amazonaws.com/photos/30267626/medium.jpg,Alchemilla,Plantae,56023
424,19671813,13246,https://inaturalist-open-data.s3.amazonaws.com/photos/30298382/medium.jpg,Gymnadenia conopsea,Plantae,131610
432,19706901,13246,https://inaturalist-open-data.s3.amazonaws.com/photos/30358968/medium.jpg,Betonica macrantha,Plantae,906115
433,19706915,13246,https://inaturalist-open-data.s3.amazonaws.com/photos/30358987/medium.jpg,Betonica macrantha,Plantae,906115
473,20049342,1451046,https://inaturalist-open-data.s3.amazonaws.com/photos/30955440/medium.jpg,Rhododendron luteum,Plantae,129083
478,20232132,1467106,https://inaturalist-open-data.s3.amazonaws.com/photos/31224318/medium.jpeg,Gymnadenia conopsea,Plantae,131610
484,20235998,1467106,https://inaturalist-open-data.s3.amazonaws.com/photos/31230277/medium.jpeg,Gymnadenia conopsea,Plantae,131610
488,20250800,1467106,https://inaturalist-open-data.s3.amazonaws.com/photos/31257254/medium.jpeg,Bistorta carnea,Plantae,752467
489,20250801,1467106,https://inaturalist-open-data.s3.amazonaws.com/photos/31257310/medium.jpeg,Veronica gentianoides,Plantae,509258
490,20250802,1467106,https://inaturalist-open-data.s3.amazonaws.com/photos/31257313/medium.jpeg,Veronica gentianoides,Plantae,509258
492,20253845,1467106,https://inaturalist-open-data.s3.amazonaws.com/photos/31262361/medium.jpeg,Betonica macrantha,Plantae,906115
496,20258625,1461469,https://inaturalist-open-data.s3.amazonaws.com/photos/31270077/medium.jpeg,Pinus sylvestris hamata,Plantae,864581
581,20289270,741140,https://inaturalist-open-data.s3.amazonaws.com/photos/31321615/medium.jpg,Veronica gentianoides,Plantae,509258
591,20297759,741140,https://inaturalist-open-data.s3.amazonaws.com/photos/31337226/medium.jpg,Rhododendron luteum,Plantae,129083
788,20369834,1461469,https://inaturalist-open-data.s3.amazonaws.com/photos/31455078/medium.jpeg,Phedimus spurius,Plantae,204380
801,20370336,1461469,https://inaturalist-open-data.s3.amazonaws.com/photos/31455971/medium.jpeg,Hippophae rhamnoides,Plantae,163812
804,20370379,1461469,https://inaturalist-open-data.s3.amazonaws.com/photos/31456035/medium.jpeg,Rhododendron caucasicum,Plantae,546910
805,20370404,1461469,https://inaturalist-open-data.s3.amazonaws.com/photos/31456073/medium.jpeg,Rhododendron luteum,Plantae,129083
847,20372501,1438572,https://inaturalist-open-data.s3.amazonaws.com/photos/31457390/medium.jpeg,Veronica gentianoides,Plantae,509258
911,20413242,1468613,https://inaturalist-open-data.s3.amazonaws.com/photos/31518690/medium.jpeg,Rhododendron caucasicum,Plantae,546910
912,20413282,1468613,https://inaturalist-open-data.s3.amazonaws.com/photos/31518784/medium.jpeg,Rhododendron caucasicum,Plantae,546910
936,20415694,1440491,https://inaturalist-open-data.s3.amazonaws.com/photos/31522803/medium.jpg,Phedimus spurius,Plantae,204380
965,20416443,1440491,https://inaturalist-open-data.s3.amazonaws.com/photos/31524151/medium.jpg,Betonica macrantha,Plantae,906115
967,20416487,1440491,https://inaturalist-open-data.s3.amazonaws.com/photos/31524184/medium.jpg,Bistorta carnea,Plantae,752467
973,20416534,1461469,https://inaturalist-open-data.s3.amazonaws.com/photos/31524284/medium.jpeg,Betonica macrantha,Plantae,906115
1049,20417487,1461469,https://inaturalist-open-data.s3.amazonaws.com/photos/31525897/medium.jpeg,Chamaenerion colchicum,Plantae,564922
1091,20420248,1461469,https://inaturalist-open-data.s3.amazonaws.com/photos/31530116/medium.jpeg,Bistorta carnea,Plantae,752467
1120,20421863,1417423,https://inaturalist-open-data.s3.amazonaws.com/photos/31532200/medium.jpeg,Pinus sylvestris hamata,Plantae,864581
1121,20421864,1417423,https://inaturalist-open-data.s3.amazonaws.com/photos/31532206/medium.jpeg,Pinus sylvestris hamata,Plantae,864581
